Event	Latitude	Longitude	Country	State	County	Status	Cancellations	Website
Des Connor Park junior parkrun	-27.441892	152.978964	Australia	Queensland	Brisbane	junior Cancellation	[{'DateCancelled': '2022-05-15', 'ReasonCancelled': 'Waterlogged fields'}]	https://www.parkrun.com.au/desconnorpark-juniors
Des Moines Creek parkrun	47.40419	-122.329949	USA	Washington	King	parkrunning	[]	https://www.parkrun.us/desmoinescreek
Desborough Green Space junior parkrun	52.446059	-0.819338	United Kingdom	England	Northamptonshire	junior parkrunning	[]	https://www.parkrun.org.uk/desboroughgreenspace-juniors
Devonport junior parkrun	50.376471	-4.172108	United Kingdom	England	Plymouth	junior parkrunning	[]	https://www.parkrun.org.uk/devonport-juniors
Devonport parkrun	-41.162847	146.356321	Australia	Tasmania	Devonport	parkrunning	[]	https://www.parkrun.com.au/devonport
Dewsbury junior parkrun	53.688984	-1.646944	United Kingdom	England	Kirklees	junior parkrunning	[]	https://www.parkrun.org.uk/dewsbury-juniors
Dewsbury parkrun	53.688218	-1.646275	United Kingdom	England	Kirklees	parkrunning	[]	https://www.parkrun.org.uk/dewsbury
Diamond Creek parkrun	-37.673576	145.153249	Australia	Victoria	Shire of Nillumbik	parkrunning	[]	https://www.parkrun.com.au/diamondcreek
Didcot parkrun	51.612792	-1.239	United Kingdom	England	Oxfordshire	parkrunning	[]	https://www.parkrun.org.uk/didcot
Dietenbach parkrun	47.999723	7.805913	Germany	Baden-Württemberg	Freiburg Region	parkrunning	[]	https://www.parkrun.com.de/dietenbach
Dinton Pastures parkrun	51.440292	-0.880056	United Kingdom	England	Wokingham	parkrunning	[]	https://www.parkrun.org.uk/dintonpastures
Dishley parkrun, Loughborough	52.787485	-1.234785	United Kingdom	England	Leicestershire	parkrunning	[]	https://www.parkrun.org.uk/dishleyloughborough
Dixton junior parkrun, Monmouth	51.815864	-2.707755	United Kingdom	Wales	Monmouthshire	junior parkrunning	[]	https://www.parkrun.org.uk/dixton-juniors
Doddington Hall parkrun	53.222149	-0.650558	United Kingdom	England	Lincolnshire	parkrunning	[]	https://www.parkrun.org.uk/doddingtonhall
Dolgellau parkrun	52.744574	-3.886527	United Kingdom	Wales	Gwynedd	parkrunning	[]	https://www.parkrun.org.uk/dolgellau
Dolls Point parkrun	-33.995775	151.144928	Australia	New South Wales	Rockdale	parkrunning	[]	https://www.parkrun.com.au/dollspoint
Donabate parkrun	53.486227	-6.167897	Ireland	Leinster	Dublin	parkrunning	[]	https://www.parkrun.ie/donabate
Donaupark parkrun	48.240043	16.419671	Austria	Vienna	Vienna	parkrunning	[]	https://www.parkrun.co.at/donaupark
Donauradweg parkrun	48.318131	14.293323	Austria	Upper Austria	Linz Stadt	parkrunning	[]	https://www.parkrun.co.at/donauradweg
Dorset Recreation Reserve parkrun	-37.805244	145.29128	Australia	Victoria	Maroondah	parkrunning	[]	https://www.parkrun.com.au/dorsetrecreationreserve
Dowds Farm junior parkrun	50.931244	-1.304687	United Kingdom	England	Hampshire	junior parkrunning	[]	https://www.parkrun.org.uk/dowdsfarm-juniors
Downham Market Academy parkrun	52.6034	0.389471	United Kingdom	England	Norfolk	parkrunning	[]	https://www.parkrun.org.uk/downhammarketacademy
Downsview parkrun	43.74385	-79.479977	Canada	Ontario	Toronto	parkrunning	[]	https://www.parkrun.ca/downsview
Dreiländergarten parkrun	47.586611	7.610583	Germany	Baden-Württemberg	Freiburg Region	parkrunning	[]	https://www.parkrun.com.de/dreilaendergarten
Drumblade parkrun	-26.434129	28.005427	South Africa	Gauteng	Sedibeng District Municipality	parkrunning	[]	https://www.parkrun.co.za/drumblade
Drumchapel parkrun	55.91688	-4.350674	United Kingdom	Scotland	Glasgow City	parkrunning	[]	https://www.parkrun.org.uk/drumchapel
Drumpellier Country parkrun	55.871588	-4.065615	United Kingdom	Scotland	North Lanarkshire	parkrunning	[]	https://www.parkrun.org.uk/drumpelliercountry
Drumpellier junior parkrun	55.872855	-4.068698	United Kingdom	Scotland	North Lanarkshire	junior parkrunning	[]	https://www.parkrun.org.uk/drumpellier-juniors
Druridge Bay parkrun	55.292765	-1.572348	United Kingdom	England	Northumberland	parkrunning	[]	https://www.parkrun.org.uk/druridgebay
Dubbo parkrun	-32.256257	148.591034	Australia	New South Wales	Western Plains Regional	parkrunning	[]	https://www.parkrun.com.au/dubbo
Dudley parkrun	52.490027	-2.134568	United Kingdom	England	Dudley	parkrunning	[]	https://www.parkrun.org.uk/dudley
Duffins Trail parkrun	43.853253	-79.061685	Canada	Ontario	Durham	parkrunning	[]	https://www.parkrun.ca/duffinstrail
Duikersdrift parkrun, Tulbagh	-33.259059	19.128404	South Africa	Western Cape	Cape Winelands District Municipality	parkrunning	[]	https://www.parkrun.co.za/duikersdrift
Dukeries junior parkrun	53.207905	-0.997203	United Kingdom	England	Nottinghamshire	junior parkrunning	[]	https://www.parkrun.org.uk/dukeries-juniors
Duloch junior parkrun	56.062493	-3.401857	United Kingdom	Scotland	Fife	junior parkrunning	[]	https://www.parkrun.org.uk/duloch-juniors
Dulwich parkrun	51.443869	-0.079206	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/dulwich
Dumfries junior parkrun	55.062707	-3.606924	United Kingdom	Scotland	Dumfries and Galloway	junior parkrunning	[]	https://www.parkrun.org.uk/dumfries-juniors
Dundalk IT junior parkrun	53.984453	-6.38781	Ireland	Leinster	Louth	junior parkrunning	[]	https://www.parkrun.ie/dundalkit-juniors
Dundalk parkrun	53.984567	-6.386803	Ireland	Leinster	Louth	parkrunning	[]	https://www.parkrun.ie/dundalk
Dunedin parkrun	-45.857088	170.519225	New Zealand	Otago	Dunedin City	parkrunning	[]	https://www.parkrun.co.nz/dunedin
Dunfermline parkrun	56.070684	-3.470694	United Kingdom	Scotland	Fife	parkrunning	[]	https://www.parkrun.org.uk/dunfermline
Dungannon Park parkrun	54.489432	-6.755359	United Kingdom	Northern Ireland	Tyrone	parkrunning	[]	https://www.parkrun.org.uk/dungannonpark
Dungloe parkrun	54.952769	-8.348957	Ireland	Ulster	Donegal	parkrunning	[]	https://www.parkrun.ie/dungloe
Dunleath Playing Fields parkrun	54.323473	-5.718077	United Kingdom	Northern Ireland	Down	parkrunning	[]	https://www.parkrun.org.uk/dunleathplayingfields
Dunstable Downs parkrun	51.865432	-0.537791	United Kingdom	England	Central Bedfordshire	parkrunning	[]	https://www.parkrun.org.uk/dunstabledowns
Durban Point parkrun	-29.864284	31.043293	South Africa	KwaZulu-Natal	eThekwini Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/durbanpoint
Durbanville parkrun	-33.801551	18.621833	South Africa	Western Cape	City of Cape Town	parkrunning	[]	https://www.parkrun.co.za/durbanville
Durham City junior parkrun	54.775551	-1.564287	United Kingdom	England	Durham	junior parkrunning	[]	https://www.parkrun.org.uk/durhamcity-juniors
Durham NC parkrun	35.955931	-78.926382	USA	North Carolina	Durham	parkrunning	[]	https://www.parkrun.us/durhamnc
Durham parkrun	54.767605	-1.558852	United Kingdom	England	Durham	parkrunning	[]	https://www.parkrun.org.uk/durham
Durlston Country Park parkrun	50.595211	-1.954023	United Kingdom	England	Dorset	parkrunning	[]	https://www.parkrun.org.uk/durlstoncountrypark
Dusi parkrun	-29.611438	30.380781	South Africa	KwaZulu-Natal	uMgungundlovu District Municipality	parkrunning	[]	https://www.parkrun.co.za/dusi
Duthie junior parkrun	57.131553	-2.105342	United Kingdom	Scotland	Aberdeen City	junior parkrunning	[]	https://www.parkrun.org.uk/duthie-juniors
Dømmesmoen parkrun	58.354828	8.574346	Norway	Agder	Grimstad	parkrunning	[]	https://www.parkrun.no/dommesmoen
Eagan parkrun	44.797663	-93.175378	USA	Minnesota	Dakota	parkrunning	[]	https://www.parkrun.us/eagan
East Brighton parkrun	50.818691	-0.099373	United Kingdom	England	Brighton and Hove	parkrunning	[]	https://www.parkrun.org.uk/eastbrighton
East Coast Brewery parkrun	-30.195064	30.802362	South Africa	KwaZulu-Natal	eThekwini Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/eastcoastbrewery
East Coast Park parkrun	1.294954	103.893129	Singapore			parkrunning	[]	https://www.parkrun.sg/eastcoastpark
East End parkrun, New Plymouth	-39.048356	174.093589	New Zealand	Taranaki	New Plymouth District	parkrunning	[]	https://www.parkrun.co.nz/eastend
East Grinstead parkrun	51.129008	0.001373	United Kingdom	England	West Sussex	parkrunning	[]	https://www.parkrun.org.uk/eastgrinstead
East Park parkrun	52.579042	-2.101975	United Kingdom	England	Wolverhampton	parkrunning	[]	https://www.parkrun.org.uk/eastpark
East Richmond parkrun	-33.604814	150.774321	Australia	New South Wales	Hawkesbury	parkrunning	[]	https://www.parkrun.com.au/eastrichmond
Eastbourne junior parkrun	50.76191	0.286914	United Kingdom	England	East Sussex	junior parkrunning	[]	https://www.parkrun.org.uk/eastbourne-juniors
Eastbourne parkrun	50.806248	0.290451	United Kingdom	England	East Sussex	parkrunning	[]	https://www.parkrun.org.uk/eastbourne
Eastern Gardens parkrun	-38.147322	144.378578	Australia	Victoria	Greater Geelong	parkrunning	[]	https://www.parkrun.com.au/easterngardens
Eastleigh parkrun	50.971433	-1.374032	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/eastleigh
Eastney junior parkrun	50.789698	-1.054334	United Kingdom	England	Portsmouth	junior parkrunning	[]	https://www.parkrun.org.uk/eastney-juniors
Eastville junior parkrun	51.476132	-2.554961	United Kingdom	England	Bristol	junior parkrunning	[]	https://www.parkrun.org.uk/eastville-juniors
Eastville parkrun	51.475453	-2.554304	United Kingdom	England	Bristol	parkrunning	[]	https://www.parkrun.org.uk/eastville
Eaton junior parkrun	52.619606	1.25856	United Kingdom	England	Norfolk	junior parkrunning	[]	https://www.parkrun.org.uk/eaton-juniors
Ebotse parkrun	-26.146747	28.352306	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/ebotse
Ecco Ripley parkrun	-27.681056	152.80014	Australia	Queensland	Ipswich	parkrunning	[]	https://www.parkrun.com.au/eccoripley
Echuca Moama parkrun	-36.139104	144.739213	Australia	Victoria	Shire of Campaspe	parkrunning	[]	https://www.parkrun.com.au/echucamoama
Ecos parkrun, Ballymena	54.867371	-6.259117	United Kingdom	Northern Ireland	Antrim	parkrunning	[]	https://www.parkrun.org.uk/ecos
Eden Project parkrun	50.358315	-4.74285	United Kingdom	England	Cornwall	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Eden Sessions music event setting up'}]	https://www.parkrun.org.uk/edenproject
Edenbrook Country parkrun	51.280199	-0.867088	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/edenbrookcountry
Edgbaston Reservoir parkrun	52.476722	-1.936437	United Kingdom	England	Birmingham	parkrunning	[]	https://www.parkrun.org.uk/edgbastonreservoir
Edinburgh Oval parkrun	-32.003668	115.891775	Australia	Western Australia	Victoria Park	parkrunning	[]	https://www.parkrun.com.au/edinburghoval
Edinburgh parkrun	55.978806	-3.291585	United Kingdom	Scotland	Edinburgh	parkrunning	[]	https://www.parkrun.org.uk/edinburgh
Edithburgh parkrun	-35.080717	137.747177	Australia	South Australia	Yorke Peninsula	parkrunning	[]	https://www.parkrun.com.au/edithburgh
Edwin Carolan Community parkrun	53.807985	-6.939783	Ireland	Ulster	Cavan	parkrunning	[]	https://www.parkrun.ie/edwincarolancommunity
Eglinton parkrun	55.643935	-4.669662	United Kingdom	Scotland	North Ayrshire	parkrunning	[]	https://www.parkrun.org.uk/eglinton
Egweni River Lodge parkrun	-26.901128	27.446698	South Africa	Orange Free State	Fezile Dabi District Municipality	parkrunning	[]	https://www.parkrun.co.za/egweniriverlodge
Elder Park junior parkrun	55.863242	-4.325388	United Kingdom	Scotland	Glasgow City	junior parkrunning	[]	https://www.parkrun.org.uk/elderpark-juniors
Eldorado Park parkrun	-26.298306	27.8918	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/eldoradopark
Elgin parkrun	57.653393	-3.313072	United Kingdom	Scotland	Moray	parkrunning	[]	https://www.parkrun.org.uk/elgin
Ellesmere Port parkrun	53.272524	-2.902542	United Kingdom	England	Cheshire	parkrunning	[]	https://www.parkrun.org.uk/ellesmereport
Elliott Heads Beach parkrun	-24.92193	152.491565	Australia	Queensland	Bundaberg	parkrunning	[]	https://www.parkrun.com.au/elliottheadsbeach
Ellon parkrun	57.359262	-2.056968	United Kingdom	Scotland	Aberdeenshire	parkrunning	[]	https://www.parkrun.org.uk/ellon
Eltham junior parkrun	51.455664	0.068186	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/eltham-juniors
Ely Country junior parkrun	52.399139	0.275369	United Kingdom	England	Cambridgeshire	junior parkrunning	[]	https://www.parkrun.org.uk/elycountry-juniors
Emerald parkrun	-23.531435	148.164253	Australia	Queensland	Central Highlands	parkrunning	[]	https://www.parkrun.com.au/emerald
Endcliffe parkrun	53.368631	-1.507364	United Kingdom	England	Sheffield	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Fake Festival in the park'}]	https://www.parkrun.org.uk/endcliffe
Enfield Town junior parkrun	51.648422	-0.084363	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/enfieldtown-juniors
Enniskillen parkrun	54.343834	-7.642293	United Kingdom	Northern Ireland	Fermanagh	parkrunning	[]	https://www.parkrun.org.uk/enniskillen
Eramosa River Trail parkrun	43.540362	-80.241109	Canada	Ontario	Wellington County	parkrunning	[]	https://www.parkrun.ca/eramosarivertrail
Erddig parkrun	53.027137	-3.006833	United Kingdom	Wales	Wrexham	parkrunning	[]	https://www.parkrun.org.uk/erddig
Ernest Ullmann parkrun	-26.078938	28.073178	South Africa	Gauteng	City of Johannesburg Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/ernestullmann
Erris parkrun	54.203272	-10.082041	Ireland	Connaught	Mayo	parkrunning	[]	https://www.parkrun.ie/erris
Esbjerg parkrun	55.482349	8.442703	Denmark	South Denmark	Esbjerg Kommune	parkrunning	[]	https://www.parkrun.dk/esbjerg
Euroa parkrun	-36.752767	145.573825	Australia	Victoria	Strathbogie	parkrunning	[]	https://www.parkrun.com.au/euroa
Evesham junior parkrun	52.09023	-1.958169	United Kingdom	England	Worcestershire	junior parkrunning	[]	https://www.parkrun.org.uk/evesham-juniors
Evesham parkrun	52.090191	-1.958122	United Kingdom	England	Worcestershire	parkrunning	[]	https://www.parkrun.org.uk/evesham
Exeter Riverside parkrun	50.713762	-3.525833	United Kingdom	England	Devon	parkrunning	[]	https://www.parkrun.org.uk/exeterriverside
Exmouth parkrun	50.614697	-3.412392	United Kingdom	England	Devon	parkrunning	[]	https://www.parkrun.org.uk/exmouth
Eynesbury Heritage Trail junior parkrun	-37.787396	144.564012	Australia	Victoria	Melton	junior parkrunning	[]	https://www.parkrun.com.au/eynesburyheritagetrail-juniors
Fairview parkrun	53.363864	-6.228896	Ireland	Leinster	Dublin	parkrunning	[]	https://www.parkrun.ie/fairview
Falcarragh parkrun	55.140535	-8.099661	Ireland	Ulster	Donegal	parkrunning	[]	https://www.parkrun.ie/falcarragh
Falkirk parkrun	55.99543	-3.766712	United Kingdom	Scotland	Falkirk	parkrunning	[]	https://www.parkrun.org.uk/falkirk
Falls parkrun, Belfast	54.586363	-5.978879	United Kingdom	Northern Ireland	Belfast	parkrunning	[]	https://www.parkrun.org.uk/falls
Fareham parkrun	50.848448	-1.167385	United Kingdom	England	Hampshire	parkrunning	[]	https://www.parkrun.org.uk/fareham
Farfalle parkrun	45.425905	11.902457	Italy	Veneto	Padua	parkrunning	[]	https://www.parkrun.it/farfalle
Faskally Forest parkrun	56.7118	-3.767296	United Kingdom	Scotland	Perth and Kinross	parkrunning	[]	https://www.parkrun.org.uk/faskallyforest
Father Collins parkrun	53.405158	-6.16021	Ireland	Leinster	Dublin	parkrunning	[]	https://www.parkrun.ie/fathercollins
Faversham Recreation Ground junior parkrun	51.312083	0.897824	United Kingdom	England	Kent	junior parkrunning	[]	https://www.parkrun.org.uk/favershamrec-juniors
Favorita parkrun	38.159773	13.339815	Italy	Sicily	Province of Palermo	parkrunning	[]	https://www.parkrun.it/favorita
Felixstowe Prom junior parkrun	51.957785	1.345726	United Kingdom	England	Suffolk	junior parkrunning	[]	https://www.parkrun.org.uk/felixstoweprom-juniors
Felixstowe parkrun	51.957778	1.345741	United Kingdom	England	Suffolk	parkrunning	[]	https://www.parkrun.org.uk/felixstowe
Fell Foot parkrun, Newby Bridge	54.274736	-2.952259	United Kingdom	England	Cumbria	parkrunning	[]	https://www.parkrun.org.uk/fellfoot
Ferry Meadows parkrun	52.565563	-0.308132	United Kingdom	England	Peterborough	parkrunning	[]	https://www.parkrun.org.uk/ferrymeadows
Ferryvale parkrun	-26.42512	28.481447	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/ferryvale
Festningen parkrun	63.430394	10.410776	Norway	Trøndelag	Trondheim	parkrunning	[]	https://www.parkrun.no/festningen
Ficksburg parkrun	-28.863554	27.881193	South Africa	Orange Free State	Thabo Mofutsanyana District Municipality	parkrunning	[]	https://www.parkrun.co.za/ficksburg
Fife Cycle Park junior parkrun	56.140406	-3.320574	United Kingdom	Scotland	Fife	junior parkrunning	[]	https://www.parkrun.org.uk/fifecyclepark-juniors
Figges Marsh junior parkrun	51.414902	-0.16132	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/figgesmarsh-juniors
Fingal Bay parkrun	-32.742887	152.170644	Australia	New South Wales	Port Stephens Shire	parkrunning	[]	https://www.parkrun.com.au/fingalbay
Finsbury parkrun	51.569595	-0.104145	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/finsbury
Fish Hoek parkrun	-34.120577	18.398581	South Africa	Western Cape	City of Cape Town	parkrunning	[]	https://www.parkrun.co.za/fishhoek
Flatts Lane parkrun	54.543872	-1.151741	United Kingdom	England	Redcar and Cleveland	parkrunning	[]	https://www.parkrun.org.uk/flattslane
Flaxmere parkrun	-39.62549	176.789073	New Zealand	Hawke's Bay	Hastings District	parkrunning	[]	https://www.parkrun.co.nz/flaxmere
Fleetwood Promenade parkrun	53.927366	-3.016919	United Kingdom	England	Lancashire	parkrunning	[]	https://www.parkrun.org.uk/fleetwoodpromenade
Flegg High parkrun	52.713022	1.640492	United Kingdom	England	Norfolk	parkrunning	[]	https://www.parkrun.org.uk/flegghigh
Fletcher Moss parkrun	53.40999	-2.23551	United Kingdom	England	Manchester	parkrunning	[]	https://www.parkrun.org.uk/fletchermoss
Fletcher’s Cove parkrun	38.919711	-77.10189	USA	Washington, D.C.	Washington	parkrunning	[]	https://www.parkrun.us/fletcherscove
Florence Park junior parkrun	51.737483	-1.223801	United Kingdom	England	Oxfordshire	junior parkrunning	[]	https://www.parkrun.org.uk/florencepark-juniors
Fodder Forest parkrun	-27.583123	153.293958	Australia	Queensland	Redland	parkrunning	[]	https://www.parkrun.com.au/fodderforest
Folkestone parkrun	51.075729	1.172753	United Kingdom	England	Kent	parkrunning	[]	https://www.parkrun.org.uk/folkestone
Foots Cray Meadows parkrun	51.432103	0.133269	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/footscraymeadows
Ford parkrun	54.198427	-3.088135	United Kingdom	England	Cumbria	parkrunning	[]	https://www.parkrun.org.uk/ford
Forest Lake parkrun	-27.61964	152.967745	Australia	Queensland	Brisbane	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Course flooded'}]	https://www.parkrun.com.au/forestlake
Forest Rec junior parkrun	52.965238	-1.160495	United Kingdom	England	Nottingham	junior parkrunning	[]	https://www.parkrun.org.uk/forestrec-juniors
Forest Rec parkrun	52.965352	-1.159766	United Kingdom	England	Nottingham	parkrunning	[]	https://www.parkrun.org.uk/forestrec
Forest of Dean junior parkrun	51.808701	-2.605219	United Kingdom	England	Gloucestershire	junior parkrunning	[]	https://www.parkrun.org.uk/forestofdean-juniors
Forest of Dean parkrun	51.808701	-2.605219	United Kingdom	England	Gloucestershire	parkrunning	[]	https://www.parkrun.org.uk/forestofdean
Forfar Loch parkrun	56.642663	-2.908213	United Kingdom	Scotland	Angus	parkrunning	[]	https://www.parkrun.org.uk/forfarloch
Foro Italico parkrun	38.120136	13.372298	Italy	Sicily	Province of Palermo	parkrunning	[]	https://www.parkrun.it/foroitalico
Forster parkrun	-32.180174	152.519554	Australia	New South Wales	Mid-Coast	parkrunning	[]	https://www.parkrun.com.au/forster
Fort William parkrun	56.851484	-4.999161	United Kingdom	Scotland	Highland	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Due to world cup mountain bike event'}]	https://www.parkrun.org.uk/fortwilliam
Foster parkrun	-43.608599	172.385129	New Zealand	Canterbury	Selwyn District	parkrunning	[]	https://www.parkrun.co.nz/foster
Fountains Abbey parkrun	54.110196	-1.581983	United Kingdom	England	North Yorkshire	parkrunning	[]	https://www.parkrun.org.uk/fountainsabbey
Frankston Nature Conservation Reserve parkrun	-38.17212	145.12985	Australia	Victoria	Frankston	parkrunning	[]	https://www.parkrun.com.au/frankstonnatureconservationres
Franschhoek parkrun	-33.898945	19.091445	South Africa	Western Cape	Cape Winelands District Municipality	parkrunning	[]	https://www.parkrun.co.za/franschhoek
Friary Park junior parkrun	51.619706	-0.162187	United Kingdom	England	Greater London	junior parkrunning	[]	https://www.parkrun.org.uk/friarypark-juniors
Frickley Country parkrun	53.588573	-1.290457	United Kingdom	England	Wakefield	parkrunning	[]	https://www.parkrun.org.uk/frickleycountry
Friedrichsau parkrun	48.411138	10.012702	Germany	Baden-Württemberg	Tübingen Region	parkrunning	[]	https://www.parkrun.com.de/friedrichsau
Frimley Lodge parkrun	51.298622	-0.724851	United Kingdom	England	Surrey	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'The Surrey Heath Show'}]	https://www.parkrun.org.uk/frimleylodge
Frog Hollow parkrun	-37.991559	145.273622	Australia	Victoria	Casey	parkrunning	[]	https://www.parkrun.com.au/froghollow
Frogmary Green Farm parkrun	50.941688	-2.824426	United Kingdom	England	Somerset	parkrunning	[]	https://www.parkrun.org.uk/frogmarygreenfarm
Frédéric Back parkrun	45.558862	-73.620363	Canada	Quebec	Montréal	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Défis Entreprises is taking place in the park.'}]	https://www.parkrun.ca/fredericback
Fukakitaryokuchi parkrun	34.73032	135.625805	Japan	Ōsaka	Neyagawa	parkrunning	[]	https://www.parkrun.jp/fukakitaryokuchi
Fulbourn Hospital parkrun	52.184131	0.186094	United Kingdom	England	Cambridgeshire	parkrunning	[]	https://www.parkrun.org.uk/fulbournhospital
Fuldaaue parkrun	50.543388	9.664673	Germany	Hesse	Regierungsbezirk Kassel	parkrunning	[]	https://www.parkrun.com.de/fuldaaue
Fulham Palace parkrun	51.472465	-0.218493	United Kingdom	England	Greater London	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Thames Path Challenge taking place in the park.'}]	https://www.parkrun.org.uk/fulhampalace
Futakotamagawa parkrun	35.606442	139.633181	Japan	Tokyo	Setagaya-ku	parkrunning	[]	https://www.parkrun.jp/futakotamagawa
Fælledparken parkrun	55.701775	12.568917	Denmark	Capital Region	Copenhagen	parkrunning	[]	https://www.parkrun.dk/faelledparken
GEC Rec junior parkrun	52.365561	-1.239956	United Kingdom	England	Warwickshire	junior parkrunning	[]	https://www.parkrun.org.uk/gecrec-juniors
Gadebridge Park junior parkrun	51.760476	-0.473894	United Kingdom	England	Hertfordshire	junior Cancellation	[{'DateCancelled': '2022-05-15', 'ReasonCancelled': 'Bubble Rush event set-up in key areas of ou course'}]	https://www.parkrun.org.uk/gadebridgepark-juniors
Gadebridge parkrun	51.758909	-0.473542	United Kingdom	England	Hertfordshire	parkrunning	[]	https://www.parkrun.org.uk/gadebridge
Gainsborough Greens parkrun	-27.81877	153.306901	Australia	Queensland	Gold Coast	parkrunning	[]	https://www.parkrun.com.au/gainsboroughgreens
Galston parkrun	-33.642734	151.043648	Australia	New South Wales	Hornsby Shire	parkrunning	[]	https://www.parkrun.com.au/galston
Ganavan Sands parkrun	56.437766	-5.469021	United Kingdom	Scotland	Argyll and Bute	parkrunning	[]	https://www.parkrun.org.uk/ganavansands
Gardenhurst Estate junior parkrun	53.13934	-2.668462	United Kingdom	England	Cheshire	junior parkrunning	[]	https://www.parkrun.org.uk/gardenhurstestate-juniors
Gardiners Creek parkrun	-37.845344	145.114787	Australia	Victoria	Whitehorse	parkrunning	[]	https://www.parkrun.com.au/gardinerscreek
Garvagh Forest parkrun	54.977416	-6.695537	United Kingdom	Northern Ireland	Derry	parkrunning	[]	https://www.parkrun.org.uk/garvaghforest
Garvey Park parkrun	-31.922558	115.941181	Australia	Western Australia	Belmont	parkrunning	[]	https://www.parkrun.com.au/garveypark
Gateshead parkrun	54.944733	-1.602094	United Kingdom	England	Gateshead	parkrunning	[]	https://www.parkrun.org.uk/gateshead
Gatton parkrun	-27.570426	152.270476	Australia	Queensland	Lockyer Valley	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Due to flooding at the lake and many roads closed'}]	https://www.parkrun.com.au/gatton
Gawler parkrun	-34.590841	138.750027	Australia	South Australia	Gawler	parkrunning	[]	https://www.parkrun.com.au/gawler
Gayndah River Walk parkrun	-25.624063	151.611063	Australia	Queensland	North Burnett	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'Due weather conditions and safety concerns'}]	https://www.parkrun.com.au/gayndahriverwalk
Gedling junior parkrun	52.99389	-1.087241	United Kingdom	England	Nottinghamshire	junior parkrunning	[]	https://www.parkrun.org.uk/gedling-juniors
Gedling parkrun	52.993919	-1.087124	United Kingdom	England	Nottinghamshire	parkrunning	[]	https://www.parkrun.org.uk/gedling
Geeveston parkrun	-43.163256	146.925685	Australia	Tasmania	Huon Valley	parkrunning	[]	https://www.parkrun.com.au/geeveston
Geographe Bay parkrun	-33.642342	115.354374	Australia	Western Australia	Busselton	parkrunning	[]	https://www.parkrun.com.au/geographebay
George Town parkrun	-41.109186	146.821208	Australia	Tasmania	George Town	parkrunning	[]	https://www.parkrun.com.au/georgetown
George parkrun	-33.945385	22.464767	South Africa	Western Cape	Eden District Municipality	parkrunning	[]	https://www.parkrun.co.za/george
Georgengarten parkrun	52.3905	9.702945	Germany	Lower Saxony		parkrunning	[]	https://www.parkrun.com.de/georgengarten
Gillies Lake parkrun	48.480373	-81.321352	Canada	Ontario	Cochrane District	5k Cancellation	[{'DateCancelled': '2022-05-14', 'ReasonCancelled': 'COVID-19 (Coronavirus)'}]	https://www.parkrun.ca/gillieslake
Gilloolys parkrun	-26.165394	28.131554	South Africa	Gauteng	Ekurhuleni Metropolitan Municipality	parkrunning	[]	https://www.parkrun.co.za/gilloolys
Ginninderra parkrun	-35.234051	149.073486	Australia	Australian Capital Territory		parkrunning	[]	https://www.parkrun.com.au/ginninderra
Girvan Prom parkrun	55.243994	-4.862538	United Kingdom	Scotland	South Ayrshire	parkrunning	[]	https://www.parkrun.org.uk/girvanprom
Gisborne parkrun	-38.671021	178.018082	New Zealand	Gisborne	Gisborne District	parkrunning	[]	https://www.parkrun.co.nz/gisborne
Gladstone QLD parkrun	-23.871873	151.238458	Australia	Queensland	Gladstone	parkrunning	[]	https://www.parkrun.com.au/gladstoneqld
Gladstone parkrun	51.556982	-0.228223	United Kingdom	England	Greater London	parkrunning	[]	https://www.parkrun.org.uk/gladstone
