id,eventname,EventLongName,EventShortName,LocalisedEventLongName,countrycode,seriesid,EventLocation,Latitude,Longitude
165,waterworks,"Waterworks parkrun, Belfast",Waterworks,,97,1,"Waterworks, North Belfast",54.619299,-5.942613
166,rooseveltislanddc,Roosevelt Island DC parkrun,Roosevelt Island DC,,98,1,Roosevelt Island DC,38.89638,-77.063956
167,londonfields-juniors,London Fields junior parkrun,London Fields juniors,London Fields junior parkrun,97,2,London Fields West Side,51.542178,-0.060373
169,brabrand,Brabrand parkrun,Brabrand,,23,1,Hasle Bakker,56.165699,10.141282
170,harlow-juniors,Harlow junior parkrun,Harlow juniors,Harlow junior parkrun,97,2,Harlow Town Park,51.77798,0.098433
171,peacehaven,Peacehaven parkrun,Peacehaven,,97,1,Centenary Park,50.794092,0.012418
172,bournemouth,Bournemouth parkrun,Bournemouth,,97,1,Kings Park Athletic Stadium,50.73362,-1.832732
173,esbjerg,Esbjerg parkrun,Esbjerg,,23,1,Vognsbølparken,55.482349,8.442703
174,mansfield,Mansfield parkrun,Mansfield,,97,1,Mansfield,53.174034,-1.183844
175,leightonbuzzard-juniors,Leighton Buzzard junior parkrun,Leighton Buzzard juniors,,97,2,Parson’s Close Recreation Ground,51.914155,-0.662005
176,brueton,Brueton parkrun,Brueton,,97,1,"Brueton Park, Solihull",52.406754,-1.764593
177,eglinton,Eglinton parkrun,Eglinton,,97,1,Eglinton Country Park,55.643935,-4.669662
178,navan,Navan parkrun,Navan,,42,1,Blackwater Park,53.661214,-6.693934
179,margate-juniors,Margate junior parkrun,Margate juniors,Margate junior parkrun,97,2,Hartsdown Park,51.383375,1.37197
180,peacehaven-juniors,Peacehaven junior parkrun,Peacehaven juniors,Peacehaven junior parkrun,97,2,Centenary Park,50.794091,0.011761
181,northampton,Northampton parkrun,Northampton,,97,1,Northampton Racecourse,52.248143,-0.884445
182,markeaton,Markeaton parkrun,Markeaton,,97,1,Markeaton,52.935408,-1.504769
183,valentines,Valentines parkrun,Valentines,,97,1,"Valentines Park, Redbridge",51.56749,0.07198
184,oakhill,Oak Hill parkrun,Oak Hill,,97,1,"Oak Hill Park, East Barnet",51.637718,-0.153744
185,greenock,Greenock parkrun,Greenock,,97,1,The Esplanade,55.956525,-4.767348
186,avenhampark-juniors,Avenham Park junior parkrun,Avenham Park juniors,Avenham Park junior parkrun,97,2,Avenham and Miller Park,53.753281,-2.699084
187,queensparkrochdale-juniors,"Queen’s Park junior parkrun, Rochdale","Queen’s Park juniors, Rochdale","Queen’s Park junior parkrun, Rochdale",97,2,Queen’s Park,53.601254,-2.215383
188,colchestercastle,Colchester Castle parkrun,Colchester Castle,,97,1,Castle Park,51.89167,0.902724
189,cannonhill,"Cannon Hill parkrun, Birmingham",Cannon Hill,,97,1,"Cannon Hill, Birmingham",52.452637,-1.89997
190,lloyd,"Lloyd parkrun, Croydon",Lloyd,,97,1,"Lloyd Park, Croydon",51.364807,-0.079973
191,gunnersbury,Gunnersbury parkrun,Gunnersbury,,97,1,"Gunnersbury Park, South Acton",51.499405,-0.292253
192,burnhamoncrouch,Burnham-on-Crouch parkrun,Burnham-on-Crouch,,97,1,Riverside Country Park,51.627409,0.810923
193,newfarm,New Farm parkrun,New Farm,,3,1,"New Farm, Brisbane",-27.471134,153.051636
194,bushy-juniors,Bushy junior parkrun,Bushy juniors,,97,2,"Bushy Park, Teddington",51.420504,-0.332639
196,gainsborough,Gainsborough parkrun,Gainsborough,,97,1,West Lindsey Leisure Centre,53.406272,-0.770777
198,newbury,Newbury parkrun,Newbury,,97,1,"Greenham Common, Newbury",51.378426,-1.292267
199,warrington,Warrington parkrun,Warrington,,97,1,Victoria Park,53.384221,-2.574685
200,stonehaven,Stonehaven parkrun,Stonehaven,,97,1,Mineralwell Park,56.969993,-2.212502
201,worcester,Worcester parkrun,Worcester,,97,1,Worcester Woods Country Park,52.186989,-2.178726
202,catterick,Catterick parkrun,Catterick,,97,1,Catterick Racecourse,54.385534,-1.646503
203,whitstable,Whitstable parkrun,Whitstable,,97,1,Whitstable Promenade,51.365295,1.041942
204,westmill,Westmill parkrun,Westmill,,97,1,Westmill Farm,51.821422,-0.060813
205,mainbeach,Main Beach parkrun,Main Beach,,3,1,"Main Beach, Goldcoast",-27.972706,153.428879
206,falkirk,Falkirk parkrun,Falkirk,,97,1,"Callendar Park, Falkirk",55.99543,-3.766712
207,weymouth-juniors,Weymouth junior parkrun,Weymouth juniors,Weymouth junior parkrun,97,2,Lodmoor Country Park,50.627396,-2.449547
208,stevenage-juniors,Stevenage junior parkrun,Stevenage juniors,Stevenage junior parkrun,97,2,Hampson Park,51.913566,-0.186637
209,merthyr,Merthyr parkrun,Merthyr,,97,1,Merthyr Leisure Village,51.73896,-3.375658
210,bracknell,Bracknell parkrun,Bracknell,,97,1,Great Hollands Recreation Ground,51.390248,-0.776844
211,comber-juniors,Comber junior parkrun,Comber juniors,Comber junior parkrun,97,2,Parkway,54.549098,-5.739909
213,brierleyforest,Brierley Forest parkrun,Brierley Forest,,97,1,Mineralwell Park,53.131155,-1.295214
214,inverleith-juniors,Inverleith junior parkrun,Inverleith juniors,Inverleith junior parkrun,97,2,Inverleith park,55.964343,-3.213143
215,harrogate,Harrogate parkrun,Harrogate,,97,1,"The Stray, Harrogate",53.992428,-1.521435
216,montrose,Montrose parkrun,Montrose,,97,1,Roselea Football Club,56.726297,-2.455223
217,lymingtonwoodside,Lymington Woodside parkrun,Lymington Woodside,,97,1,Woodside Gardens,50.747747,-1.54548
218,southnorwood,South Norwood parkrun,South Norwood,,97,1,South Norwood Country Park,51.396111,-0.059908
219,mansfieldoh,Mansfield OH parkrun,Mansfield OH,,98,1,North Lake Park,40.767616,-82.538434
220,leavesden-juniors,Leavesden junior parkrun,Leavesden juniors,Leavesden junior parkrun,97,2,Leavesden Country Park,51.705262,-0.403035
221,southport,Southport parkrun,Southport,,97,1,Hesketh Park,53.656276,-2.985341
222,wolverhampton,Wolverhampton parkrun,Wolverhampton,,97,1,West Park,52.588775,-2.140875
223,queenspark-juniors,"Queen’s Park junior parkrun, Bolton","Queen’s Park juniors, Bolton",,97,2,Queen’s Park,53.577613,-2.444706
224,gloucesternorth,Gloucester North parkrun,Gloucester North,,97,1,Plock Court Playing Fields,51.878304,-2.231707
225,perth,Perth parkrun,Perth,,97,1,North Inch and Riverside parks,56.40515,-3.435422
226,worcesterpitchcroft,Worcester Pitchcroft parkrun,Worcester Pitchcroft,,97,1,"The Pitchcroft, Worcester Racecourse",52.201513,-2.231964
227,jubilee-juniors,Jubilee junior parkrun,Jubilee juniors,Jubilee junior parkrun,97,2,Jubilee Park,52.359161,-0.165825
228,newport,Newport parkrun,Newport,,97,1,"Tredegar House, Newport",51.559479,-3.030939
229,congleton,Congleton parkrun,Congleton,,97,1,Astbury Mere,53.160781,-2.229795
