Event	Country	Cancellation Note	Website
Heidedal parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/heidedal
Heritage Park junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/heritagepark-juniors
Hermanus parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/hermanus
Heron Banks parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/heronbanks
Highbury Fields junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/highburyfields-juniors
Hikarigaoka koen parkrun	Japan	COVID-19 State of emergency	https://www.parkrun.jp/hikarigaokakoen
Hillside parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/hillside
Hilltop parkrun	United Kingdom	COVID-19 (Coronavirus)	
Hilton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/hilton
Hluhluwe parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/hluhluwe
Hockgraben parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/hockgraben
Hogsback parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/hogsback
Holywell junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/holywell-juniors
Homestead Lake parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/homesteadlake
Hout Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/houtbay
Hucknall junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/hucknall-juniors
Huddinge parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/huddinge
Illaunmanagh parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/illaunmanagh
Inch Beach parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/inchbeach
Inverness parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/inverness
Jacobsdal parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/jacobsdal
Jamaica Pond parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/jamaicapond
Jeffreys Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/jeffreysbay
Kagerzoom parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/kagerzoom
Kanata parkrun, Ottawa	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/kanata
Kastanienallee parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/kastanienallee
Kayamandi parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kayamandi
Keppel parkrun	United Kingdom	COVID-19 (Coronavirus)	
Kidds Beach parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kiddsbeach
Kilkenny parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/kilkenny
Killarney House parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/killarneyhouse
Kimberley parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kimberley
King George Playing Fields junior parkrun	United Kingdom	COVID-19 (Coronavirus)	
King George junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/kinggeorge-juniors
Kingston parkrun	United Kingdom	Another event on the course	https://www.parkrun.org.uk/kingston
King’s Lynn junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/kingslynn-juniors
Kirkcaldy parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/kirkcaldy
Kiwanis parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/kiwanis
Knockanacree Woods parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/knockanacreewoods
Knocknacarra parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/knocknacarra
Knysna parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/knysna
Komani parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/komani
Koster parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/koster
Kraalkop parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kraalkop
Kralinbergh parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kralinbergh
Kroonstad parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kroonstad
Kurpark parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/kurpark
KwaMashu parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kwamashu
Kwanele parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/kwanele
Küchenholz parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/kuechenholz
La Mandria parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/lamandria
Lady Slipper parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ladyslipper
Ladybrand parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ladybrand
Ladysmith parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ladysmith
Lahnwiesen parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/lahnwiesen
Lakes junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/lakes-juniors
Lanark Moor parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/lanarkmoor
Landesgartenschau Park parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/landesgartenschaupark
Langebaan parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/langebaan
Langenhoven parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/langenhoven
Lanseria parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/lanseria
Latchmere Rec junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/latchmererec-juniors
Laudium parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/laudium
Lebone parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/lebone
Lees Road parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/leesroad
Leeupan parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/leeupan
Leeupoort parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/leeupoort
Letterkenny parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/letterkenny
Levengrove parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/levengrove
Lews Castle parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/lewscastle
Lichtenburg Raceway parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/lichtenburgraceway
Limerick parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/limerick
Linwood parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/linwood
Listowel parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/listowel
Livingston parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/livingston
Llanelli Coast junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/llanellicoast-juniors
Llanelli Coast parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/llanellicoast
Llanerchaeron parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/llanerchaeron
Llyn Llech Owain parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/llynllechowain
Loch Leven parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/lochleven
Lochend Woods parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/lochendwoods
Lochore Meadows parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/lochoremeadows
Lonehill parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/lonehill
Longford junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/longford-juniors
Longford parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/longford
Lota parkrun	Australia	Qld Covid restrictions Brisbane area.	https://www.parkrun.com.au/lota
Lough Key parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/loughkey
Lough Lannagh junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/loughlannagh-juniors
Louis Trichardt parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/louistrichardt
Lower Drummans parkrun	United Kingdom	COVID-19 (Coronavirus)	
Luitpold parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/luitpold
Løvstien parkrun, Bergen	Norway	COVID-19 (Coronavirus)	https://www.parkrun.no/lovstien
Maaraue parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/maaraue
Maborikaigan yuhodo parkrun	Japan	緊急事態宣言発出のため　State of Emergency	https://www.parkrun.jp/maborikaiganyuhodo
MacRosty junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/macrosty-juniors
Maesteg parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/maesteg
Malahide Castle junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/malahidecastle-juniors
Malahide parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/malahide
Mallards Pike parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/mallardspike
Mallow Castle parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/mallowcastle
Malmesbury parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/malmesbury
Mapetla parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mapetla
Marecchia parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/marecchia
Marlay junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/marlay-juniors
Marlay parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/marlay
Marsh-Billings-Rockefeller parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/marshbillingsrockefeller
Mashishing parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mashishing
Matlosana Bird parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/matlosanabird
Mbabane parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mbabane
McAllister parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/mcallister
Meadowmill parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/meadowmill
Melkbosstrand parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/melkbosstrand
Mendel Riverbank parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/mendelriverbank
Merthyr parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/merthyr
Meyers Farm parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/meyersfarm
Meyerton parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/meyerton
Middelburg parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/middelburg
Midstream parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/midstream
Milano Nord parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/milanonord
Milford Waterfront parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/milfordwaterfront
Mitchells Plain parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mitchellsplain
Modderfontein Reserve parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/modderfonteinreserve
Modimolle parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/modimolle
Mofolo parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mofolo
Momoi harappa koen parkrun	Japan	Unavailable to use the park due to vaccination	https://www.parkrun.jp/momoiharappakoen
Monaghan Town parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/monaghantown
Montelepre parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/montelepre
Montrose parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/montrose
Moormead junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/moormead-juniors
Moors Valley parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/moorsvalley
Mount Stuart parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/mountstuart
Mountain Goat Trail parkrun	United States	COVID-19 (Coronavirus)	https://www.parkrun.us/mountaingoattrail
Mountlucas parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/mountlucas
Moussette parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/moussette
Mthatha parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/mthatha
Mullingar parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/mullingar
Mungret parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/mungret
Mura di Lucca parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/muradilucca
Naas parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/naas
Nahoon Point parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/nahoonpoint
Nansenparken parkrun	Norway	COVID-19 (Coronavirus)	https://www.parkrun.no/nansenparken
Nant y Pandy parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/nantypandy
Narin Beach parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/narinbeach
Nautical parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/nautical
Navan parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/navan
Neckarau parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/neckarau
New Ross parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/newross
New York Central Fitness Trail parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/newyorkcentralfitnesstrail
Newborough Forest parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newboroughforest
Newbury parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newbury
Newcastle West parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/newcastlewest
Newport junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newport-juniors
Newport parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newport
Newtown parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/newtown
Nidda parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/nidda
Norre Katts parkrun	Sweden	COVID-19 (Coronavirus)	https://www.parkrun.se/norrekatts
North Bay parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/northbay
North Beach parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/northbeach
Northampton Racecourse junior parkrun	United Kingdom	Town Festival on racecourse, course not accessible	https://www.parkrun.org.uk/northamptonracecourse-juniors
Northampton parkrun	United Kingdom	Northampton Town Festival	https://www.parkrun.org.uk/northampton
Northwich junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/northwich-juniors
Nose Hill parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/nosehill
Nottingham Road parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/nottinghamroad
Nova Prestatyn parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/novaprestatyn
Oakwell Hall parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oakwellhall
Oberwald parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/oberwald
Offenthal parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/offenthal
Oldbridge parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/oldbridge
Omeya parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/omeya
Oranmore junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/oranmore-juniors
Oranmore parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/oranmore
Oriam parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/oriam
Orleans parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/orleans
Oudtshoorn parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/oudtshoorn
Oughterard parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/oughterard
Outeniquasbosch parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/outeniquasbosch
Outlook and District Regional parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/outlookanddistrictregional
Oyodogawa shiminryokuchi parkrun	Japan	公園での別のイベント	https://www.parkrun.jp/oyodogawashiminryokuchi
PE Hobie Beach parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/pehobiebeach
Paarl parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/paarl
Padiham Greenway junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/padihamgreenway-juniors
Pallara parkrun	Australia	Lockdown extended to AUG 8th	https://www.parkrun.com.au/pallara
Parc parkrun	United Kingdom	COVID-19 (Coronavirus)	
Park Wood junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/parkwood-juniors
Parys parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/parys
Peel Park junior parkrun, Little Hulton	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/peelpark-juniors
Penallta junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/penallta-juniors
Penallta parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/penallta
Penrhyn parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/penrhyn
Penticton parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/penticton
Perth parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/perth
Phoenix Park parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/phoenixpark
Piggly Wiggly parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/pigglywiggly
Plean parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/plean
Pobalscoil na Tríonóide parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/pobalscoilnatrionoide
Polkemmet Country parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/polkemmetcountry
Pollok parkrun, Glasgow	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/pollok
Polokwane parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/polokwane
Pongola parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/pongola
Pont y Bala parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/pontybala
Pontypool junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/pontypool-juniors
Pontypool parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/pontypool
Pontypridd junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/pontypridd-juniors
Pontypridd parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/pontypridd
Poolbeg parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/poolbeg
Poppintree parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/poppintree
Porch Field parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/porchfield
Port Alfred parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/portalfred
Porterstown parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/porterstown
Porthcawl parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/porthcawl
Portobello parkrun, Edinburgh	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/portobello
Portrack parkrun	United Kingdom	COVID-19 (Coronavirus)	
Portumna parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/portumna
Potchefstroom parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/potchefstroom
Presint 18 parkrun, Putrajaya	Malaysia	COVID-19 (Coronavirus)	https://www.parkrun.my/presint18
Prestatyn Prom junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/prestatynprom-juniors
Prieska parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/prieska
Prince Albert parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/princealbert
Progression parkrun	Ireland	COVID-19 (Coronavirus)	
Prudhoe Riverside junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/prudhoeriverside-juniors
Queen’s Park junior parkrun, London	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/queensparklondon-juniors
Queen’s parkrun, Glasgow	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/queensglasgow
Randfontein parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/randfontein
Reculver junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/reculver-juniors
Red Star parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/redstar
Redcar junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/redcar-juniors
Redland Bay parkrun	Australia	SEQ lockdown	https://www.parkrun.com.au/redlandbay
Rheinpark parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/rheinpark
Richards Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/richardsbay
Richmond Olympic parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/richmondolympic
Riemer parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/riemer
Rietvlei parkrun, JHB South	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/rietvlei
Ringsend junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/ringsend-juniors
River Oaks parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/riveroaks
River Valley parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/rivervalley
River Valley parkrun, Edmonton	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/rivervalleyedmonton
Riverfields parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/riverfields
Riverfront parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/riverfront
Riverside Gardens junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/riversidegardens-juniors
Riverside junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/riverside-juniors
Riviera on Vaal parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/rivieraonvaal
Robertson parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/robertson
Rockfield junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/rockfield-juniors
Rocks Riverside parkrun	Australia	Covid-19 Lockdown	https://www.parkrun.com.au/rocksriverside
Rogiet parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/rogiet
Rondebosch Common parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/rondeboschcommon
Rondebult parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/rondebult
Roodepoort parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/roodepoort
Root 44 parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/root44
Rose parkrun, Lenasia	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/roselenasia
Roses parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/roses
Rother Valley parkrun	United Kingdom	Hovercraft Championships. Park too congested.	https://www.parkrun.org.uk/rothervalley
Royal Canal parkrun, Kilcock	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/royalcanalkilcock
Ruchill parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/ruchill
Ruimsig parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/ruimsig
Rush junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/rush-juniors
Rushmere parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/rushmere
Russborough parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/russborough
Röthelheimpark parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/roethelheimpark
Salento parkrun	Italy	COVID-19 (Coronavirus)	https://www.parkrun.it/salento
Sands Lane parkrun	United Kingdom	COVID-19 (Coronavirus)	
Sanukikodomonokuni parkrun	Japan	新型コロナウィルス感染症拡大防止のため	https://www.parkrun.jp/sanukikodomonokuni
Sardinia Bay parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sardiniabay
Schoterbos parkrun	Netherlands	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/schoterbos
Schwanenteich parkrun	Germany	COVID-19 (Coronavirus)	https://www.parkrun.com.de/schwanenteich
Secunda parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/secunda
Sedgefield junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sedgefield-juniors
Severn Bridge parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/severnbridge
Seymour Park junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/seymourpark-juniors
Shanganagh parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/shanganagh
Sharpham Road Playing Fields parkrun	United Kingdom	New event, volunteer team still in training	
Shawnigan Hills parkrun	Canada	COVID-19 (Coronavirus)	https://www.parkrun.ca/shawniganhills
Shelbourne junior parkrun	Ireland	COVID-19 (Coronavirus)	https://www.parkrun.ie/shelbourne-juniors
Shimanami Earthland parkrun	Japan	ボランティア人数不足	https://www.parkrun.jp/shimanamiearthland
Shongweni parkrun	South Africa	COVID-19 (Coronavirus)	https://www.parkrun.co.za/shongweni
Shrewsbury junior parkrun	United Kingdom	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/shrewsbury-juniors
