Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
Berwick Waters parkrun	-38.078218	145.342965	Australia	5k Cancellation	2021-06-12	Lockdown	https://www.parkrun.com.au/berwickwaters
Bestwood Village parkrun	53.022132	-1.171188	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bestwoodvillage
Bethlehem parkrun	-28.251308	28.336215	South Africa	parkrunning			https://www.parkrun.co.za/bethlehem
Bethlem Royal Hospital parkrun	51.385332	-0.029969	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bethlemroyalhospital
Betteshanger junior parkrun	51.236001	1.371111	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/betteshanger-juniors
Betty's Bay parkrun	-34.351851	18.926615	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bettysbay
Bevendean Down parkrun	50.844709	-0.107027	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bevendeandown
Beverley Westwood parkrun	53.840255	-0.440675	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/beverleywestwood
Bexley parkrun	51.455132	0.113254	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bexley
Bezuidenhout parkrun	-26.180165	28.089316	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bezuidenhout
Bibra Lake parkrun	-32.093955	115.820636	Australia	parkrunning			https://www.parkrun.com.au/bibralake
Bicester parkrun	51.891101	-1.146866	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bicester
Bideford parkrun	51.024075	-4.204316	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bideford
Big Bay parkrun	-33.792113	18.456388	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bigbay
Bill Rose Sports Complex parkrun	-32.054009	150.856114	Australia	parkrunning			https://www.parkrun.com.au/billrosesportscomplex
Billericay parkrun	51.632966	0.417446	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/billericay
Billingham junior parkrun	54.610247	-1.289735	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/billingham-juniors
Birches Valley junior parkrun	52.750906	-1.968971	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/birchesvalley-juniors
Birdsland Reserve parkrun	-37.923408	145.335724	Australia	5k Cancellation	2021-06-12	Victorian Lockdown restrictions still apply	https://www.parkrun.com.au/birdslandreserve
Birkenhead parkrun	53.394807	-3.051658	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/birkenhead
Bishan parkrun	1.360729	103.850291	Singapore	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.sg/bishan
Black Park parkrun	51.540329	-0.5476	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/blackpark
Blackbutt parkrun	-32.932526	151.699755	Australia	parkrunning			https://www.parkrun.com.au/blackbutt
Blackhill parkrun	54.858315	-1.842366	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/blackhill
Blackpool parkrun	53.811727	-3.023114	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/blackpool
Blandford parkrun	50.863122	-2.16627	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/blandford
Blenheim parkrun	-41.511842	173.95879	New Zealand	parkrunning			https://www.parkrun.co.nz/blenheim
Blickling parkrun	52.813653	1.221671	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/blickling
Bloemhof parkrun	-27.653549	25.595048	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bloemhof
Bloxwich junior parkrun	52.625246	-2.006525	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bloxwich-juniors
Blue Gum Hills parkrun	-32.884131	151.620206	Australia	parkrunning			https://www.parkrun.com.au/bluegumhills
Blue Lagoon parkrun	-29.811223	31.03348	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bluelagoon
Blyth Links parkrun	55.106922	-1.499456	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/blythlinks
Bodington junior parkrun	53.841537	-1.590275	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bodington-juniors
Bodmin junior parkrun	50.474313	-4.73101	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bodmin-juniors
Bognor Regis junior parkrun	50.792765	-0.693819	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bognorregis-juniors
Bognor Regis parkrun	50.786913	-0.668305	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bognorregis
Boksburg parkrun	-26.235059	28.275415	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/boksburg
Bolberry Down parkrun	50.23197	-3.842329	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bolberrydown
Bolton parkrun	53.574715	-2.395615	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bolton
Borrisokane Town parkrun	52.998198	-8.132919	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/borrisokanetown
Bosmont Stadium parkrun	-26.194801	27.954446	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bosmontstadium
Boston Road Rec junior parkrun	52.997065	-0.40055	United Kingdom	junior Cancellation	2021-06-13	The recreation ground is hosting the local fair	https://www.parkrun.org.uk/bostonroadrec-juniors
Boston parkrun	52.990156	-0.038556	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/boston
Botanical Garden parkrun	-25.738299	28.273752	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/botanicalgarden
Bourke Racecourse parkrun	-30.09756	145.92572	Australia	parkrunning			https://www.parkrun.com.au/bourkeracecourse
Bournemouth parkrun	50.73362	-1.832732	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bournemouth
Bowen parkrun	-19.985467	148.257052	Australia	parkrunning			https://www.parkrun.com.au/bowen
Bower Park parkrun	54.761523	-3.331244	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bowerpark
Bowling Park parkrun	53.778303	-1.739889	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bowlingpark
Bowral parkrun	-34.526266	150.395117	Australia	parkrunning			https://www.parkrun.com.au/bowral
Brabrand parkrun	56.165699	10.141282	Denmark	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.dk/brabrand
Bracknell junior parkrun	51.389493	-0.778067	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bracknell-juniors
Bracknell parkrun	51.390248	-0.776844	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bracknell
Bradford parkrun	53.814575	-1.775102	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bradford
Braidwood Showground parkrun	-35.422759	149.791222	Australia	parkrunning			https://www.parkrun.com.au/braidwoodshowground
Brakpan parkrun	-26.228901	28.370649	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/brakpan
Bramhall parkrun	53.374268	-2.160702	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bramhall
Bramley junior parkrun	53.81364	-1.634046	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/bramley-juniors
Bramley parkrun	53.813432	-1.633461	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/bramley
Brandkop parkrun	-29.145325	26.168249	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/brandkop
Brandon Country Park parkrun	52.436339	0.625877	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/brandoncountrypark
Braunstone parkrun	52.626129	-1.178681	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/braunstone
Bray junior parkrun	53.204793	-6.114437	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/bray-juniors
Brayton Academy junior parkrun	53.774828	-1.084158	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/braytonacademy-juniors
Breakwater parkrun	44.222662	-76.495865	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/breakwater
Breckland Leisure Centre junior parkrun	52.421826	0.747829	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/brecklandleisurecentre-juniors
Bredasdorp parkrun	-34.543489	20.048509	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/bredasdorp
