Event	Latitude	Longitude	Country	Status	DateCancelled	ReasonCancelled	Website
Singleton parkrun	-32.565281	151.160776	Australia	parkrunning			https://www.parkrun.com.au/singleton
Sippo Lake parkrun	40.808339	-81.460174	USA	parkrunning			https://www.parkrun.us/sippolake
Sirromet parkrun	-27.593935	153.230817	Australia	parkrunning			https://www.parkrun.com.au/sirromet
Sittingbourne parkrun	51.355453	0.740793	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sittingbourne
Sixfields Upton parkrun	52.228528	-0.942236	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sixfieldsupton
Sixmilewater parkrun	54.750004	-5.998945	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sixmilewater
Sizewell parkrun	52.210167	1.622193	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sizewell
Skatås parkrun	57.703536	12.037793	Sweden	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.se/skatas
Skegness Boating Lake parkrun	53.140697	0.345527	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/skegnessboatinglake
Skelmersdale junior parkrun	53.550389	-2.776333	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/skelmersdale-juniors
Skipton parkrun	53.961331	-2.030004	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/skipton
Slades junior parkrun	50.747157	-1.8948	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/slades-juniors
Sligo parkrun	54.265977	-8.452828	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/sligo
Sloughbottom parkrun	52.647255	1.266994	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sloughbottom
Snowden Field parkrun	52.673995	-0.164731	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/snowdenfield
Snye Point parkrun	56.730253	-111.365367	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/snyepoint
Soham Village College parkrun	52.329737	0.338064	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sohamvillagecollege
Somerdale Pavilion parkrun	51.426469	-2.495689	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/somerdalepavilion
Somerset West parkrun	-34.12695	18.888116	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/somersetwest
Sonsbeek parkrun	51.99136	5.899337	Netherlands	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/sonsbeek
South Bank parkrun	-27.478872	153.023962	Australia	parkrunning			https://www.parkrun.com.au/southbank
South Boulder Creek parkrun	39.992167	-105.217127	USA	parkrunning			https://www.parkrun.us/southbouldercreek
South Manchester junior parkrun	53.448952	-2.22633	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/southmanchester-juniors
South Manchester parkrun	53.446072	-2.224689	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southmanchester
South Norwood parkrun	51.396111	-0.059908	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southnorwood
South Oxhey parkrun	51.632255	-0.398653	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southoxhey
South Para Reservoir parkrun	-34.683829	138.877987	Australia	parkrunning			https://www.parkrun.com.au/southparareservoir
South Park junior parkrun	54.514933	-1.561141	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/southpark-juniors
South Shields parkrun	54.995687	-1.408052	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southshields
South Toowoomba parkrun	-27.594604	151.956346	Australia	parkrunning			https://www.parkrun.com.au/southtoowoomba
South Woodham Ferrers parkrun	51.631642	0.613014	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southwoodhamferrers
Southampton junior parkrun	50.933059	-1.373988	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/southampton-juniors
Southampton parkrun	50.923624	-1.407766	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southampton
Southend parkrun	51.523431	0.787526	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southend
Southport parkrun	53.656276	-2.985341	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southport
Southsea parkrun	50.778853	-1.081316	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southsea
Southwark parkrun	51.494242	-0.053151	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southwark
Southwick Country parkrun	51.306461	-2.234092	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/southwickcountrypark
Spencer Park junior parkrun	52.296022	-0.603776	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/spencerpark-juniors
Speyer Leinpfad parkrun	49.31512	8.452175	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/speyerleinpfad
Sportpark Rems parkrun	48.814706	9.540467	Germany	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.com.de/sportparkrems
Springbok parkrun	-29.700097	17.882629	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/springbok
Springburn parkrun, Glasgow	55.889857	-4.224823	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/springburn
Springs parkrun	-26.216163	28.4134	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/springs
Squerryes Winery parkrun	51.275986	0.08667	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/squerryeswinery
St Albans parkrun	51.75193	-0.355371	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stalbans
St Andrews parkrun	56.317711	-2.838234	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/standrews
St Anne's junior parkrun	53.370968	-6.172071	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/stannes-juniors
St Anne's parkrun	53.371179	-6.174574	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/stannes
St Francis parkrun	-34.162285	24.815401	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/stfrancis
St George parkrun	-28.044422	148.568244	Australia	parkrunning			https://www.parkrun.com.au/stgeorge
St Helens parkrun	53.46322	-2.744088	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sthelens
St Lucia parkrun	-27.495122	153.017796	Australia	parkrunning			https://www.parkrun.com.au/stlucia
St Mary's Campus junior parkrun	51.90537	-8.500633	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/stmaryscampus-juniors
St Mary's parkrun	50.729456	-2.760744	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stmarys
St Peters parkrun	-33.907658	151.18219	Australia	parkrunning			https://www.parkrun.com.au/stpeters
Stadspark parkrun	53.203176	6.540406	Netherlands	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/stadspark
Stamford Park parkrun	53.490901	-2.066163	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stamfordpark
Standerton parkrun	-26.956032	29.250275	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/standerton
Stanley Park junior parkrun	53.43405	-2.965534	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/stanleypark-juniors
Stanthorpe parkrun	-28.65183	151.931781	Australia	parkrunning			https://www.parkrun.com.au/stanthorpe
Stavanger parkrun	58.952586	5.717011	Norway	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.no/stavanger
Staveley junior parkrun	53.270608	-1.336668	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/staveley-juniors
Stebonheath parkrun	-34.676285	138.66393	Australia	parkrunning			https://www.parkrun.com.au/stebonheath
Sterkfontein parkrun	-26.068688	27.768987	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sterkfontein
Stevenage junior parkrun	51.913566	-0.186637	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stevenage-juniors
Stevenage parkrun	51.902634	-0.17993	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stevenage
Stevens Park junior parkrun, Wollescote	52.447903	-2.115605	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/stevenspark-juniors
Stewart parkrun, Middlesbrough	54.53809	-1.203561	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stewart
Steynsrus Showground parkrun	-27.957312	27.56611	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/steynsrusshowground
Stirling junior parkrun	56.113824	-3.946307	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stirling-juniors
Stockton parkrun	-32.919273	151.78442	Australia	parkrunning			https://www.parkrun.com.au/stockton
Stokes Bay junior parkrun	50.781474	-1.153797	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/stokesbay-juniors
Stonehaven parkrun	56.969993	-2.212502	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stonehaven
Stonehouse junior parkrun	51.752965	-2.287006	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/stonehouse-juniors
Stonehouse parkrun	51.752554	-2.287804	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stonehouse
Stormont parkrun	54.598318	-5.837749	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stormont
Storthes Hall parkrun	53.607932	-1.722012	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stortheshall
Strand Beach parkrun	-34.106176	18.817449	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/strandbeach
Stranmillis College parkrun	54.572708	-5.938828	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stranmilliscollege
Stratford Park parkrun, Stroud	51.74897	-2.225007	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stratfordparkstroud
Stratford-upon-Avon Rec junior parkrun	52.187298	-1.703316	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/stratforduponavonrec-juniors
Stratford-upon-Avon parkrun	52.184998	-1.701445	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stratforduponavon
Strathalbyn parkrun	-35.258681	138.89303	Australia	parkrunning			https://www.parkrun.com.au/strathalbyn
Strathclyde parkrun	55.789631	-4.031425	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/strathclyde
Strathcona Island parkrun	50.037613	-110.652522	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/strathconaisland
Strathmartine junior parkrun	56.491386	-3.003733	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/strathmartine-juniors
Street parkrun	51.129515	-2.729089	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/street
Stretford parkrun	53.446121	-2.290281	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/stretford
Strokestown parkrun	53.776186	-8.098492	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/strokestown
Studley parkrun	-37.80083	145.008858	Australia	5k Cancellation	2021-06-12	Covid-19 restrictions	https://www.parkrun.com.au/studley
Stutterheim parkrun	-32.567059	27.412219	South Africa	parkrunning			https://www.parkrun.co.za/stutterheim
Sunbury parkrun	-37.584562	144.741992	Australia	5k Cancellation	2021-06-12	Victoria covid restrictions	https://www.parkrun.com.au/sunbury
Sunnidale parkrun	44.39838	-79.709932	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/sunnidale
Sunny Hill parkrun	51.598193	-0.229717	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/sunnyhill
Sunrise-on-Sea parkrun	-32.915013	28.038654	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sunriseonsea
Surbiton junior parkrun	51.384716	-0.288601	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/surbiton-juniors
Surfers Paradise parkrun	-28.000737	153.417365	Australia	parkrunning			https://www.parkrun.com.au/surfersparadise
Sutherland parkrun	-32.398167	20.656954	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/sutherland
Sutton Lawn junior parkrun	53.124273	-1.253116	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/suttonlawn-juniors
Sutton Manor parkrun	53.411392	-2.726901	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/suttonmanor
Sutton Park parkrun	52.558505	-1.867129	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/suttonpark
Swadlincote junior parkrun	52.764399	-1.557414	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/swadlincote-juniors
Swaffham parkrun	52.638607	0.688461	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/swaffham
Swakopmund parkrun	-22.666375	14.528015	Namibia	parkrunning			https://www.parkrun.co.za/swakopmund
Swansea Bay parkrun	51.610463	-3.969848	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/swanseabay
Swansea Prom junior parkrun	51.611368	-3.965801	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/swanseaprom-juniors
Swellendam parkrun	-34.00627	20.439211	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/swellendam
TYTO Wetlands parkrun	-18.656953	146.149126	Australia	parkrunning			https://www.parkrun.com.au/tytowetlands
Tamagawa chuo koen parkrun	35.730167	139.326594	Japan	parkrunning			https://www.parkrun.jp/tamagawachuokoen
Taman Pudu Ulu parkrun	3.122979	101.733362	Malaysia	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.my/tamanpuduulu
Taman Tasik Danau Kota parkrun	3.205579	101.718006	Malaysia	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.my/tamantasikdanaukota
Tamar Lakes parkrun	50.879837	-4.433418	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tamarlakes
Tamar Trails parkrun	50.535163	-4.201763	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tamartrails
Tamborine Mountain parkrun	-27.941377	153.193434	Australia	parkrunning			https://www.parkrun.com.au/tamborinemountain
Tampere parkrun	61.492554	23.759243	Finland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.fi/tampere
Tamworth Wetlands parkrun	-32.33239	115.812074	Australia	parkrunning			https://www.parkrun.com.au/tamworthwetlands
Tamworth parkrun	-31.099559	150.936905	Australia	parkrunning			https://www.parkrun.com.au/tamworth
Tannum Sands parkrun	-23.93798	151.364976	Australia	parkrunning			https://www.parkrun.com.au/tannumsands
Tapijn parkrun	50.843369	5.687415	Netherlands	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.nl/tapijn
Taree parkrun	-31.910271	152.468625	Australia	parkrunning			https://www.parkrun.com.au/taree
Taupo parkrun	-38.715183	176.081348	New Zealand	parkrunning			https://www.parkrun.co.nz/taupo
Tauranga parkrun	-37.703937	176.14702	New Zealand	parkrunning			https://www.parkrun.co.nz/tauranga
Tawd Valley parkrun	53.550281	-2.775829	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tawdvalley
Ted Scobie Oval parkrun	-34.273904	146.074443	Australia	parkrunning			https://www.parkrun.com.au/tedscobieoval
Tees Barrage parkrun	54.564846	-1.287396	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/teesbarrage
Teignmouth Promenade parkrun	50.544428	-3.494987	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/teignmouthpromenade
Telford junior parkrun	52.671256	-2.445683	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/telford-juniors
Telford parkrun	52.67123	-2.447934	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/telford
Temple Newsam junior parkrun	53.784563	-1.45791	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/templenewsam-juniors
Temple Newsam parkrun	53.784781	-1.456461	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/templenewsam
Templemore parkrun	52.798741	-7.839498	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/templemore
Terme parkrun	43.88727	10.774629	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/terme
Terry Hershey parkrun	29.771321	-95.620501	USA	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.us/terryhershey
Tetbury Goods Shed parkrun	51.637222	-2.155818	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tetburygoodsshed
Tewkesbury parkrun	51.987666	-2.159373	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tewkesbury
The Avenues parkrun	-35.209252	138.709337	Australia	parkrunning			https://www.parkrun.com.au/theavenues
The Beaches parkrun	-32.94159	151.767517	Australia	parkrunning			https://www.parkrun.com.au/thebeaches
The Entrance parkrun	-33.338401	151.493202	Australia	parkrunning			https://www.parkrun.com.au/theentrance
The Grand Canal Way parkrun, Tullamore	53.2784	-7.4862	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/thegrandcanalway
The Leas parkrun, Minster	51.434038	0.80213	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/theleas
The Meadows junior parkrun	55.940327	-3.184283	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/themeadows-juniors
The Mystery junior parkrun, Wavertree	53.393593	-2.922804	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/themystery-juniors
The Old Showfield parkrun	51.236186	-2.308238	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/theoldshowfield
The Pastures parkrun	55.418455	-1.705393	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thepastures
The Ponds parkrun	-33.705952	150.909187	Australia	parkrunning			https://www.parkrun.com.au/theponds
The Station junior parkrun	54.402135	-1.727371	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/thestation-juniors
The Terrace parkrun	-32.761601	151.738939	Australia	parkrunning			https://www.parkrun.com.au/theterrace
The Venue parkrun	-27.814313	24.799321	South Africa	parkrunning			https://www.parkrun.co.za/thevenue
The Wammy parkrun	53.017811	-2.238701	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thewammy
The Waterfront junior parkrun	49.186471	-2.115936	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/thewaterfront-juniors
The Wirral Way junior parkrun, Parkgate	53.293748	-3.075869	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/thewirralway-juniors
The Woodlands Waterway parkrun	30.159698	-95.45839	USA	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.us/thewoodlandswaterway
Thetford parkrun	52.4156	0.743766	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thetford
Third Creek Greenway parkrun	35.955352	-83.951128	USA	parkrunning			https://www.parkrun.us/thirdcreekgreenway
Thomas Mills parkrun	52.228375	1.325981	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thomasmills
Thornbury parkrun	51.606368	-2.530114	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thornbury
Thorndon junior parkrun	-34.874224	138.690985	Australia	junior parkrunning			https://www.parkrun.com.au/thorndon-juniors
Thousand Hills parkrun	-29.743459	30.728536	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/thousandhills
Thurrock parkrun, Orsett Heath	51.491427	0.363436	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thurrock
Thurso parkrun	58.589573	-3.521554	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/thurso
Tilgate junior parkrun	51.095839	-0.175976	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/tilgate-juniors
Tilgate parkrun	51.097	-0.175623	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tilgate
Timboon parkrun	-38.483074	142.977527	Australia	5k Cancellation	2021-06-12	Victoria 7 Day Circuit Breaker Lockdown extension	https://www.parkrun.com.au/timboon
Tinley Manor parkrun	-29.438383	31.251665	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/tinleymanor
Tokoinranta parkrun	60.180235	24.946594	Finland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.fi/tokoinranta
Tolka Valley parkrun	53.378396	-6.297293	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/tolkavalley
Tollcross parkrun, Glasgow	55.847494	-4.179461	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tollcross
Tolson junior parkrun	53.645008	-1.755604	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/tolson-juniors
Tonbridge junior parkrun	51.20977	0.270291	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/tonbridge-juniors
Tonbridge parkrun	51.197605	0.270174	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tonbridge
Toolern Creek parkrun	-37.714776	144.583229	Australia	5k Cancellation	2021-06-12	Victoria 7 Day Circuit Breaker Lockdown	https://www.parkrun.com.au/toolerncreek
Tooting Common junior parkrun	51.434698	-0.147709	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tootingcommon-juniors
Tooting Common parkrun	51.433342	-0.14677	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tootingcommon
Toowoomba parkrun	-27.56019	151.963926	Australia	parkrunning			https://www.parkrun.com.au/toowoomba
Torbay Velopark junior parkrun	50.423563	-3.564283	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/torbayvelopark-juniors
Torbay Velopark parkrun	50.423441	-3.564297	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/torbayvelopark
Torquay parkrun	-38.327281	144.326903	Australia	5k Cancellation	2021-06-12	COVID-19	https://www.parkrun.com.au/torquay
Torrens parkrun	-34.917551	138.587444	Australia	parkrunning			https://www.parkrun.com.au/torrens
Torridge junior parkrun	51.023418	-4.203435	United Kingdom	junior parkrunning			https://www.parkrun.org.uk/torridge-juniors
Town Moor junior parkrun	54.98383	-1.619189	United Kingdom	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/townmoor-juniors
Tralee junior parkrun	52.266633	-9.705158	Ireland	junior Cancellation	2021-06-13	COVID-19 (Coronavirus)	https://www.parkrun.ie/tralee-juniors
Tralee parkrun	52.266242	-9.705376	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/tralee
Tramore parkrun, Waterford	52.159283	-7.141892	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/tramore
Traralgon parkrun	-38.189632	146.53648	Australia	parkrunning			https://www.parkrun.com.au/traralgon
Trelai Park parkrun	51.478969	-3.232766	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/trelaipark
Trelissick parkrun	50.217331	-5.02826	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/trelissick
Tremorfa parkrun	51.486237	-3.132727	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tremorfa
Trentham Memorial parkrun	-41.13057	175.031273	New Zealand	parkrunning			https://www.parkrun.co.nz/trenthammemorial
Treviso parkrun	45.694128	12.271947	Italy	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.it/treviso
Tring parkrun	51.786634	-0.659599	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tring
Troon parkrun	55.541413	-4.670058	United Kingdom	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/troon
Trout Pond parkrun	49.793628	-112.185763	Canada	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ca/troutpond
Tsakane Wetlands parkrun	-26.348586	28.371085	South Africa	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.co.za/tsakanewetlands
Tsujido kaihin koen parkrun	35.320992	139.449448	Japan	parkrunning			https://www.parkrun.jp/tsujidokaihinkoen
Tuggeranong parkrun	-35.410284	149.064989	Australia	parkrunning			https://www.parkrun.com.au/tuggeranong
Tullow parkrun	52.794943	-6.660345	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/tullow
Tymon parkrun	53.295314	-6.3282	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/tymon
Tyne Green parkrun	54.977878	-2.101526	United Kingdom	PtR	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.org.uk/tynegreen
Tyrrelstown parkrun	53.423857	-6.389576	Ireland	5k Cancellation	2021-06-12	COVID-19 (Coronavirus)	https://www.parkrun.ie/tyrrelstown
